Simbolo;Nombre;Sector;Industria
XNCR;Xencor, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
CDNA;CareDx, Inc.;Sanidad;Especialidades medicas
AMCX;AMC Networks Inc.;Servicios al consumidor;Radiodifusion
MIR;Mirion Technologies, Inc.;Tecnologia;Maquinaria industrial/Componentes
MRTN;Marten Transport, Ltd.;Transporte;Transporte de mercancias por carretera/Servicios de mensajeria
PTVE;Pactiv Evergreen Inc.;Bienes de consumo duraderos;Contenedores/Embalajes
PTY;Pimco Corporate & Income Opportunity Fund;Finanzas;Gestores de inversiones
IAG;Iamgold Corporation Ordinary Shares;NO APLICABLE;NO DISPONIBLE
LNN;Lindsay Corporation;Bienes de capital;Maquinaria industrial/Componentes
AIR;AAR Corp.;Bienes de capital;Aeroespacial
ONEM;1Life Healthcare, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
MEI;Methode Electronics, Inc.;Bienes de capital;Productos electricos
ETV;Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest;Finanzas;#N/D
VCEL;Vericel Corporation;Sanidad;Biotecnologia Productos biologicos (no sustancias de diagnostico)
USA;Liberty All-Star Equity Fund;Finanzas;Empresas financieras
MYRG;MYR Group, Inc.;Industrias basicas;#N/D
FRTA;Forterra, Inc.;NO APLICABLE;NO DISPONIBLE
USNA;USANA Health Sciences, Inc.;NO APLICABLE;NO DISPONIBLE
FORG;ForgeRock, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
VRTS;Virtus Investment Partners, Inc.;Finanzas;Gestores de inversiones
PMT;PennyMac Mortgage Investment Trust Common Shares of Beneficial Interest;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
VRE;Veris Residential, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
YOU;Clear Secure, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
LMDX;LumiraDx Limited Common Shares;Sanidad;Biotecnologia Sustancias de diagnostico in vitro e in vivo
ARRY;Array Technologies, Inc.;Tecnologia;Semiconductores
CDLX;Cardlytics, Inc.;Tecnologia;Publicidad
XPEL;XPEL, Inc.;Bienes de capital;Autopartes:O.E.M.
LYEL;Lyell Immunopharma, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
EAT;Brinker International, Inc.;Servicios al consumidor;Restaurantes
PTRA;Proterra Inc.;Bienes de capital;Fabricacion de automoviles
ESRT;Empire State Realty Trust, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
SAND;Sandstorm Gold Ltd. Ordinary Shares;NO APLICABLE;NO DISPONIBLE
BALY;Bally's Corporation;Servicios al consumidor;Productos recreativos/Juguetes
FORTY;Formula Systems;Tecnologia;Servicios EDP
AGIO;Agios Pharmaceuticals, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
TBBK;The Bancorp Inc;Finanzas;Grandes bancos
BGCP;BGC Partners, Inc;Finanzas;Banqueros/corredores/servicios de inversion
CMPR;Cimpress plc Ordinary Shares;Servicios al consumidor;Productos recreativos/Juguetes
PRTA;Prothena Corporation plc Ordinary Shares;Sanidad;Biotecnologia Preparados Farmaceuticos
VGR;Vector Group Ltd.;Bienes de consumo no duraderos;Agricultura/Semillas/Molineria
ADPT;Adaptive Biotechnologies Corporation;Sanidad;Biotecnologia Productos biologicos (no sustancias de diagnostico)
BLND;Blend Labs, Inc.;Tecnologia;Servicios EDP
MFGP;Micro Focus Intl PLC ADS each representing One Ord Sh;Tecnologia;Programas informaticos: Software preempaquetado
FBNC;First Bancorp;Finanzas;Grandes bancos
MNTK;Montauk Renewables, Inc.;NO APLICABLE;NO DISPONIBLE
IRBT;iRobot Corporation;NO APLICABLE;NO DISPONIBLE
TY;Tri Continental Corporation;Finanzas;Empresas financieras
ARCO;Arcos Dorados Holdings Inc. Shares;Servicios al consumidor;Restaurantes
GNL;Global Net Lease, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
GDEN;Golden Entertainment, Inc.;Servicios al consumidor;Hoteles/Restaurantes
HSKA;Heska Corporation;Sanidad;Biotecnologia Aparatos electromedicos y electroterapeuticos
CYH;Community Health Systems, Inc.;Sanidad;Gestion de hospitales/enfermeria
HEES;H&E Equipment Services, Inc.;Tecnologia;Ingenieria y construccion
PING;Ping Identity Holding Corp.;Tecnologia;Servicios EDP
CFFN;Capitol Federal Financial, Inc.;Finanzas;Instituciones de ahorro
AMK;AssetMark Financial Holdings, Inc.;Finanzas;Finanzas/Servicios a inversores
WOW;WideOpenWest, Inc.;Servicios al consumidor;Servicios de television
GSM;Ferroglobe PLC Ordinary Shares;Industrias basicas;Metales preciosos
UDMY;Udemy, Inc.;NO APLICABLE;NO DISPONIBLE
RCII;Rent-A-Center Inc.;Tecnologia;Servicios comerciales diversificados
CASH;Meta Financial Group, Inc.;Finanzas;Bancos
ARQQ;Arqit Quantum Inc. Ordinary Shares;NO APLICABLE;NO DISPONIBLE
ASTL;Algoma Steel Group Inc. Common Shares;NO APLICABLE;NO DISPONIBLE
TVTX;Travere Therapeutics, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
ROCK;Gibraltar Industries, Inc.;NO APLICABLE;NO DISPONIBLE
SSYS;Stratasys, Ltd. Ordinary Shares;Tecnologia;Equipos perifericos de ordenador
PRG;PROG Holdings, Inc.;Tecnologia;Servicios comerciales diversificados
MCRI;Monarch Casino & Resort, Inc.;Servicios al consumidor;Cine/Entretenimiento
ECPG;Encore Capital Group Inc;NO APLICABLE;NO DISPONIBLE
CRTO;Criteo S.A. American Depositary Shares;Tecnologia;Publicidad
HNI;HNI Corporation;Bienes de consumo duraderos;Equipos/suministros/servicios de oficina
MEG;Montrose Environmental Group, Inc.;Servicios al consumidor;Servicios profesionales
NRGV;Energy Vault Holdings, Inc.;NO APLICABLE;NO DISPONIBLE
TEN;Tenneco Inc. Voting;Bienes de capital;Autopartes:O.E.M.
MLNK;MeridianLink, Inc.;NO APLICABLE;NO DISPONIBLE
TVTY;Tivity Health, Inc.;Sanidad;Especialidades medicas
MNRO;Monro, Inc.;NO APLICABLE;NO DISPONIBLE
ANF;Abercrombie & Fitch Company;Servicios al consumidor;Tiendas de ropa/calzado/accesorios
PUMP;ProPetro Holding Corp.;Energia;Servicios/equipos petroliferos
PATK;Patrick Industries, Inc.;Servicios al consumidor;Otras tiendas especializadas
XENE;Xenon Pharmaceuticals Inc. Common Shares;NO APLICABLE;NO DISPONIBLE
BAMR;Brookfield Asset Management Reinsurance Partners Ltd. Exchangeable Limited Voting Shares;NO APLICABLE;NO DISPONIBLE
AUPH;Aurinia Pharmaceuticals Inc Ordinary Shares;NO APLICABLE;NO DISPONIBLE
PLMR;Palomar Holdings, Inc.;Finanzas;Aseguradoras de Daños
SYBT;Stock Yards Bancorp, Inc.;Finanzas;Grandes bancos
AVNS;Avanos Medical, Inc.;Sanidad;Especialidades industriales
CSR;D/B/A Centerspace;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
RELY;Remitly Global, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
UUUU;Energy Fuels Inc Ordinary Shares;NO APLICABLE;NO DISPONIBLE
TNC;Tennant Company;Bienes de capital;Maquinaria industrial/Componentes
RVMD;Revolution Medicines, Inc.;Bienes de consumo duraderos;Especialidades quimicas
GGAL;Grupo Financiero Galicia S.A. American Depositary Shares;Finanzas;Bancos comerciales
UIS;Unisys Corporation New;Tecnologia;Servicios EDP
SLVM;Sylvamo Corporation;Servicios al consumidor;Papel
ECOL;US Ecology, Inc;Servicios publicos;Servicios medioambientales
NSTG;NanoString Technologies, Inc.;Sanidad;Biotecnologia Productos biologicos (no sustancias de diagnostico)
ECVT;Ecovyst Inc.;Industrias basicas;Grandes empresas quimicas
TGI;Triumph Group, Inc.;Bienes de capital;Aeroespacial
LEV;The Lion Electric Company Common Shares;NO APLICABLE;NO DISPONIBLE
BUSE;First Busey Corporation;Finanzas;Grandes bancos
EVTL;Vertical Aerospace Ltd. Ordinary Shares;NO APLICABLE;NO DISPONIBLE
ANDE;Andersons, Inc.;Bienes de consumo no duraderos;Tabaco
LADR;Ladder Capital Corp;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
FCF;First Commonwealth Financial Corporation;Finanzas;Grandes bancos
CLB;Core Laboratories N.V.;Energia;Servicios/equipos petroliferos
RDWR;Radware Ltd. Ordinary Shares;Varios;Servicios a empresas
PTNR;Partner Communications Company Ltd. American Depositary Shares;Servicios publicos;Equipos de telecomunicaciones
AMLX;Amylyx Pharmaceuticals, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
GEL;Genesis Energy, L.P. Common Units;Energia;Refino de petroleo/Marketing
MGNI;Magnite, Inc.;Tecnologia;Publicidad
GVA;Granite Construction Incorporated;Bienes de capital;Ingenieria y construccion
STRA;Strategic Education, Inc.;Varios;Servicios a la industria sanitaria
CLDX;Celldex Therapeutics, Inc.;Sanidad;Biotecnologia Sustancias de diagnostico in vitro e in vivo
CLS;Celestica, Inc.;NO APLICABLE;NO DISPONIBLE
PI;Impinj, Inc.;Servicios publicos;Equipos de telecomunicaciones
IPOF;Social Capital Hedosophia Holdings Corp. VI Ordinary Shares;Finanzas;Servicios a empresas
FFWM;First Foundation Inc.;Finanzas;Grandes bancos
BHLB;Berkshire Hills Bancorp, Inc.;Finanzas;Instituciones de ahorro
PLYA;Playa Hotels & Resorts N.V. Ordinary Shares;Servicios al consumidor;Hoteles/Restaurantes
CYRX;CryoPort, Inc.;NO APLICABLE;NO DISPONIBLE
KFRC;Kforce, Inc.;Tecnologia;Servicios comerciales diversificados
LC;LendingClub Corporation;Finanzas;Empresas financieras
EXFY;Expensify, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
ILPT;Industrial Logistics Properties Trust Common Shares of Beneficial Interest;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
MCG;Membership Collective Group Inc.;Servicios al consumidor;Hoteles/Restaurantes
BRP;BRP Group, Inc.;Finanzas;Aseguradoras especializadas
SAVA;Cassava Sciences, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
SNEX;StoneX Group Inc.;Finanzas;Banqueros/corredores/servicios de inversion
SCHL;Scholastic Corporation;Servicios al consumidor;Libros
SEMR;SEMrush Holdings, Inc.;Tecnologia;Servicios EDP
PAYO;Payoneer Global Inc.;Tecnologia;Servicios EDP
AROC;Archrock, Inc.;Energia;Produccion de petroleo y gas
DSL;DoubleLine Income Solutions Fund Common Shares of Beneficial Interests;Finanzas;#N/D
EXTR;Extreme Networks, Inc.;Bienes de capital;Equipos de telecomunicaciones
SA;Seabridge Gold, Inc. Ordinary Shares;NO APLICABLE;NO DISPONIBLE
BATRA;Liberty Media Corporation Series A Liberty Braves;Servicios al consumidor;Cine/Entretenimiento
AVDX;AvidXchange Holdings, Inc.;Tecnologia;Servicios EDP
PJT;PJT Partners Inc.;Finanzas;Gestores de inversiones
OSIS;OSI Systems, Inc.;Bienes de capital;Maquinaria industrial/Componentes
PRIM;Primoris Services Corporation;Industrias basicas;#N/D
ETG;Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest;Finanzas;Gestores de inversiones
PLUS;ePlus inc.;Tecnologia;Comercio al por menor Programas informaticos y equipos perifericos
HYZN;Hyzon Motors Inc.;Bienes de capital;Construccion/Equipos agricolas/Camiones
LTC;LTC Properties, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
TDCX;TDCX Inc. American Depositary Shares, each representing one ordinary share;NO APLICABLE;NO DISPONIBLE
INTA;Intapp, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
SPNS;Sapiens International Corporation N.V. Common Shares;Tecnologia;Programas informaticos: Software preempaquetado
APTS;Preferred Apartment Communities, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
OXM;Oxford Industries, Inc.;Bienes de consumo no duraderos;Ropa
ROAD;Construction Partners, Inc.;Bienes de capital;Ingenieria y construccion
SFL;SFL Corporation Ltd;Transporte;Transporte maritimo
COMM;CommScope Holding Company, Inc.;Tecnologia;Equipos de radio y television y comunicaciones
VECO;Veeco Instruments Inc.;Tecnologia;Semiconductores
NYMT;New York Mortgage Trust, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
DRQ;Dril-Quip, Inc.;Energia;Fabricacion de metales
ARGO;Argo Group International Holdings, Ltd.;Finanzas;Aseguradoras especializadas
PRLB;Proto Labs, Inc.;Bienes de capital;Equipos/suministros/servicios de oficina
SST;System1, Inc.;Servicios al consumidor;Servicios comerciales diversificados
DOMO;Domo, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
BIGC;BigCommerce Holdings, Inc. Series 1;Tecnologia;Programas informaticos: Software preempaquetado
MHO;M/I Homes, Inc.;Bienes de capital;Construccion de viviendas
KALU;Kaiser Aluminum Corporation;Industrias basicas;Aluminio
LRN;Stride, Inc.;Varios;Otros servicios al consumidor
ERAS;Erasca, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
VVNT;Vivint Smart Home, Inc.;Varios;Fabricacion diversificada
LICY;Li-Cycle Holdings Corp. Common Shares;NO APLICABLE;NO DISPONIBLE
GDOT;Green Dot Corporation, $0.001 par value;Tecnologia;Publicidad
BXMX;Nuveen S&P 500 Buy-Write Income Fund Common Shares of Beneficial Interest;Finanzas;Gestores de inversiones
UEC;Uranium Energy Corp.;Industrias basicas;Otros metales y minerales
TUYA;Tuya Inc. American Depositary Shares, each representing one Ordinary Share;Tecnologia;Programas informaticos: Software preempaquetado
COHU;Cohu, Inc.;Bienes de capital;Productos electricos
SNBR;Sleep Number Corporation;Bienes de consumo duraderos;Mobiliario domestico
SCHN;Schnitzer Steel Industries, Inc.;Industrias basicas;Acero/Minerales de hierro
SNPO;Snap One Holdings Corp.;Servicios al consumidor;Distribucion electronica
AGRO;Adecoagro S.A. Common Shares;NO APLICABLE;Agricultura/Semillas/Molineria
PX;P10, Inc.;Finanzas;Gestores de inversiones
PCVX;Vaxcyte, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
NBR;Nabors Industries Ltd.;Energia;Produccion de petroleo y gas
BATRK;Liberty Media Corporation Series C Liberty Braves;Servicios al consumidor;Cine/Entretenimiento
GOEV;Canoo Inc.;NO APLICABLE;NO DISPONIBLE
SBSI;Southside Bancshares, Inc.;Finanzas;Grandes bancos
JBI;Janus International Group, Inc.;NO APLICABLE;NO DISPONIBLE
CLOV;Clover Health Investments, Corp.;Sanidad;Especialidades medicas
BIF;Boulder Growth & Income Fund, Inc.;Finanzas;Gestores de inversiones
ESTA;Establishment Labs Holdings Inc. Common Shares;Sanidad;Especialidades industriales
PRA;ProAssurance Corporation;Finanzas;Aseguradoras de Daños
PHR;Phreesia, Inc.;Sanidad;Atencion sanitaria gestionada
SVC;Service Properties Trust;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
NMFC;New Mountain Finance Corporation;Finanzas;Finanzas/Servicios a inversores
UVV;Universal Corporation;Bienes de consumo no duraderos;Tabaco
GSHD;Goosehead Insurance, Inc.;Finanzas;Aseguradoras especializadas
MORF;Morphic Holding, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
SLGC;SomaLogic, Inc.;Sanidad;Biotecnologia: Investigacion comercial fisica y biologica
ASIX;AdvanSix Inc.;Industrias basicas;Grandes empresas quimicas
IMAB;I-MAB American Depositary Shares;Sanidad;Biotecnologia Preparados Farmaceuticos
DCBO;Docebo Inc. Common Shares;NO APLICABLE;NO DISPONIBLE
RADI;Radius Global Infrastructure, Inc.;Servicios al consumidor;Equipos de telecomunicaciones
RKT;Rocket Companies, Inc.;Finanzas;Finanzas Servicios al consumidor
SHYF;The Shyft Group, Inc.;Bienes de capital;Fabricacion de automoviles
DNN;Denison Mines Corp Ordinary Shares;NO APLICABLE;NO DISPONIBLE
EVV;Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest;Finanzas;Finanzas/Servicios a inversores
KREF;KKR Real Estate Finance Trust Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
DCOM;Dime Community Bancshares, Inc.;Finanzas;Instituciones de ahorro
TPTX;Turning Point Therapeutics, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
ENTA;Enanta Pharmaceuticals, Inc.;Sanidad;Biotecnologia Sustancias de diagnostico in vitro e in vivo
BKD;Brookdale Senior Living Inc.;Sanidad;Gestion de hospitales/enfermeria
CNXN;PC Connection, Inc.;Tecnologia;Comercio al por menor Programas informaticos y equipos perifericos
FNA;Paragon 28, Inc.;Sanidad;Biotecnologia Aparatos electromedicos y electroterapeuticos
APR;Apria, Inc.;Sanidad;Instrumentos medicos/odontologicos
EB;Eventbrite, Inc.;Tecnologia;Servicios EDP
SLDP;Solid Power, Inc.;Bienes de consumo duraderos;Productos electricos
CWH;Camping World Holdings, Inc. Commom Stock;Servicios al consumidor;Otras tiendas especializadas
ERO;Ero Copper Corp. Common Shares;NO APLICABLE;NO DISPONIBLE
OFG;OFG Bancorp;Finanzas;Grandes bancos
SILV;SilverCrest Metals Inc. Common Shares;Bienes de capital;Maquinaria industrial/Componentes
AGM;Federal Agricultural Mortgage Corporation;Finanzas;Empresas financieras
NMZ;Nuveen Municipal High Income Opportunity Fund, $0.01 par value, per share;Finanzas;Finanzas/Servicios a inversores
PRO;PROS Holdings, Inc.;Tecnologia;Servicios EDP
TTMI;TTM Technologies, Inc.;Tecnologia;Productos electricos
OCSL;Oaktree Specialty Lending Corporation;Finanzas;Finanzas Servicios al consumidor
BCYC;Bicycle Therapeutics plc American Depositary Shares;Sanidad;Biotecnologia Preparados Farmaceuticos
BST;BlackRock Science and Technology Trust Common Shares of Beneficial Interest;Finanzas;Empresas financieras
AMPS;Altus Power, Inc.;NO APLICABLE;NO DISPONIBLE
DLX;Deluxe Corporation;Tecnologia;Servicios de Internet e informacion
INVA;Innoviva, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
SNCY;Sun Country Airlines Holdings, Inc.;Transporte;Servicios de transporte aereo
MOMO;Hello Group Inc. American Depositary Shares;Tecnologia;Programas informaticos: Software preempaquetado
NOAH;Noah Holdings Limited;Finanzas;Gestores de inversiones
GTY;Getty Realty Corporation;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
BV;BrightView Holdings, Inc.;Varios;Servicios a empresas
BBN;BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest;Finanzas;Empresas financieras
MLAB;Mesa Laboratories, Inc.;Bienes de capital;Maquinaria industrial/Componentes
CAMT;Camtek Ltd. Ordinary Shares;Bienes de capital;Componentes electronicos
NCBS;Nicolet Bankshares Inc.;Finanzas;Grandes bancos
IMOS;ChipMOS TECHNOLOGIES INC. American Depositary Shares;Tecnologia;Semiconductores
TAL;TAL Education Group American Depositary Shares;Varios;Otros servicios al consumidor
ATRI;Atrion Corporation;Sanidad;Instrumentos medicos/odontologicos
RWT;Redwood Trust, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
EVBG;Everbridge, Inc.;Tecnologia;Comercio al por menor Programas informaticos y equipos perifericos
UMH;UMH Properties, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
AOSL;Alpha and Omega Semiconductor Limited Common Shares;Tecnologia;Semiconductores
CNOB;ConnectOne Bancorp, Inc.;Finanzas;Grandes bancos
SCS;Steelcase Inc.;Bienes de consumo duraderos;Equipos/suministros/servicios de oficina
NXGN;NextGen Healthcare, Inc.;Sanidad;Atencion sanitaria gestionada
BHG;Bright Health Group, Inc.;Sanidad;Especialidades medicas
AZUL;Azul S.A. American Depositary Shares;Transporte;Servicios de transporte aereo
TALO;Talos Energy, Inc.;Energia;Produccion de petroleo y gas
OCFC;OceanFirst Financial Corp.;Finanzas;Instituciones de ahorro
VLD;Velo3D, Inc.;Bienes de capital;Distribuidores al por mayor
BBAI;BigBear.ai, Inc.;Tecnologia;Servicios EDP
ALX;Alexander's, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
RC;Ready Capital Corproation;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
VTEX;VTEX Common Shares;NO APLICABLE;NO DISPONIBLE
SKYW;SkyWest, Inc.;Transporte;Servicios de transporte aereo
OFLX;Omega Flex, Inc.;Bienes de capital;Productos de construccion
SXI;Standex International Corporation;Bienes de capital;Maquinaria industrial/Componentes
BRKL;Brookline Bancorp, Inc.;Finanzas;Instituciones de ahorro
TIL;Instil Bio, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
DOLE;Dole plc Ordinary Shares;NO APLICABLE;Agricultura/Semillas/Molineria
FPF;First Trust Intermediate Duration Preferred & Income Fund Common Shares of Beneficial Interest;Finanzas;#N/D
HCSG;Healthcare Services Group, Inc.;Sanidad;Servicios de vida asistida
PAM;Pampa Energia S.A. Pampa Energia S.A.;Servicios publicos;Compañias electricas: Central
FXLV;F45 Training Holdings Inc.;Servicios al consumidor;Otros servicios al consumidor
BBIO;BridgeBio Pharma, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
VERV;Verve Therapeutics, Inc.;Bienes de consumo duraderos;Especialidades quimicas
HYT;Blackrock Corporate High Yield Fund, Inc.;Finanzas;Empresas financieras
JWSM;Jaws Mustang Acquisition Corp. Ordinary Shares;Finanzas;Servicios a empresas
ITOS;iTeos Therapeutics, Inc.;Bienes de consumo duraderos;Especialidades quimicas
LPI;Laredo Petroleum, Inc.;Energia;Produccion de petroleo y gas
MBUU;Malibu Boats, Inc.;Bienes de consumo no duraderos;Productos recreativos/Juguetes
AXSM;Axsome Therapeutics, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
PGTI;PGT Innovations, Inc.;Bienes de capital;Productos de construccion
TREE;LendingTree, Inc.;Finanzas;Finanzas/Servicios a inversores
AMRS;Amyris, Inc.;Industrias basicas;Especialidades industriales
NFJ;Virtus Dividend, Interest & Premium Strategy Fund Common Shares of Beneficial Interest;Finanzas;#N/D
TGTX;TG Therapeutics, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
STEM;Stem, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
NBHC;National Bank Holdings Corporation;Finanzas;Grandes bancos
EGHT;8x8 Inc;Tecnologia;Servicios EDP
SAFT;Safety Insurance Group, Inc.;Finanzas;Aseguradoras de Daños
USER;UserTesting, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
SGH;SMART Global Holdings, Inc. Ordinary Shares;Tecnologia;Semiconductores
ADUS;Addus HomeCare Corporation;Sanidad;Servicios medicos y de enfermeria
NGD;New Gold Inc.;NO APLICABLE;NO DISPONIBLE
ALKT;Alkami Technology, Inc.;Tecnologia;Servicios EDP
DM;Desktop Metal, Inc.;Tecnologia;Equipos perifericos de ordenador
FSM;Fortuna Silver Mines Inc Ordinary Shares;NO APLICABLE;NO DISPONIBLE
AVID;Avid Technology, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
RGR;Sturm, Ruger & Company, Inc.;NO APLICABLE;NO DISPONIBLE
TCBK;TriCo Bancshares;Finanzas;Grandes bancos
NEXA;Nexa Resources S.A. Common Shares;Industrias basicas;Metales preciosos
CRNC;Cerence Inc.;Tecnologia;Servicios EDP
PTGX;Protagonist Therapeutics, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
PL;Planet Labs PBC;Bienes de capital;Aeroespacial
GFF;Griffon Corporation;NO APLICABLE;NO DISPONIBLE
LZB;La-Z-Boy Incorporated;Bienes de consumo duraderos;Mobiliario domestico
ELF;e.l.f. Beauty, Inc.;Bienes de consumo no duraderos;Productos envasados/Cosmeticos
CELU;Celularity Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
ACEL;Accel Entertainment, Inc.;Servicios al consumidor;Productos recreativos/Juguetes
GIC;Global Industrial Company;Tecnologia;Maquinaria industrial/Componentes
DIN;Dine Brands Global, Inc.;Servicios al consumidor;Restaurantes
LAND;Gladstone Land Corporation;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
GRNA;GreenLight Biosciences Holdings, PBC;Sanidad;Biotecnologia Preparados Farmaceuticos
GET;Getnet Adquirencia e Servicos para Meios de Pagamento S.A. American Depositary Shares;NO APLICABLE;NO DISPONIBLE
USPH;U.S. Physical Therapy, Inc.;Sanidad;Especialidades medicas
HCAT;Health Catalyst, Inc;Sanidad;Atencion sanitaria gestionada
AAC;Ares Acquisition Corporation Ordinary Shares;Finanzas;Servicios a empresas
DVAX;Dynavax Technologies Corporation;Sanidad;Biotecnologia Preparados Farmaceuticos
RYI;Ryerson Holding Corporation;Industrias basicas;Fabricacion de metales
OPI;Office Properties Income Trust Common Shares of Beneficial Interest;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
KROS;Keros Therapeutics, Inc.;Bienes de consumo duraderos;Especialidades quimicas
CMCO;Columbus McKinnon Corporation;Bienes de capital;Construccion/Equipos agricolas/Camiones
AZZ;AZZ Inc.;Bienes de capital;Maquinaria industrial/Componentes
WISH;ContextLogic Inc.;Bienes de capital;Productos recreativos/Juguetes
SRCE;1st Source Corporation;Finanzas;Grandes bancos
RGNX;REGENXBIO Inc.;Sanidad;Biotecnologia Productos biologicos (no sustancias de diagnostico)
EBIX;Ebix, Inc.;Tecnologia;Servicios EDP
BANC;Banc of California, Inc.;Finanzas;Grandes bancos
RPAY;Repay Holdings Corporation;Tecnologia;Servicios EDP
GPRO;GoPro, Inc.;Varios;Maquinaria industrial/Componentes
ATGE;Adtalem Global Education Inc.;Varios;Otros servicios al consumidor
MNRL;Brigham Minerals, Inc.;Energia;Produccion de petroleo y gas
SMRT;SmartRent, Inc.;Tecnologia;Servicios EDP
MBIN;Merchants Bancorp;Finanzas;Grandes bancos
CHCO;City Holding Company;Finanzas;Grandes bancos
AZRE;Azure Power Global Limited Equity Shares;Servicios publicos;Compañias electricas: Central
RETA;Reata Pharmaceuticals, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
FGEN;FibroGen, Inc;Sanidad;Biotecnologia Preparados Farmaceuticos
SLCA;U.S. Silica Holdings, Inc.;Energia;Fabricacion de metales
CLMT;Calumet Specialty Products Partners, L.P. Common Units;Energia;Produccion de petroleo y gas
CDE;Coeur Mining, Inc.;Industrias basicas;Metales preciosos
DNOW;NOW Inc.;Energia;Fabricacion de metales
KC;Kingsoft Cloud Holdings Limited American Depositary Shares;Tecnologia;Programas informaticos: Software preempaquetado
ZH;Zhihu Inc. American Depositary Shares;Varios;Servicios a empresas
CDXS;Codexis, Inc.;Sanidad;Biotecnologia: Investigacion comercial fisica y biologica
SII;Sprott Inc. Common Shares;NO APLICABLE;NO DISPONIBLE
MRUS;Merus N.V. Common Shares;Sanidad;Biotecnologia Preparados Farmaceuticos
UTZ;Utz Brands Inc;Bienes de consumo no duraderos;Alimentacion especializada
IMGN;ImmunoGen, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
AMRN;Amarin Corporation plc;Sanidad;Biotecnologia Preparados Farmaceuticos
GABC;German American Bancorp, Inc.;Finanzas;Grandes bancos
EPAC;Enerpac Tool Group Corp.;Bienes de capital;Maquinaria industrial/Componentes
TBLA;Taboola.com Ltd. Ordinary Shares;Finanzas;Servicios a empresas
APOG;Apogee Enterprises, Inc.;NO APLICABLE;NO DISPONIBLE
SILK;Silk Road Medical, Inc.;Sanidad;Instrumentos medicos/odontologicos
PTA;Cohen & Steers Tax-Advantaged Preferred Securities and Income Fund Common Shares of Beneficial Interest;Finanzas;#N/D
KAMN;Kaman Corporation;Bienes de capital;Militar/Gubernamental/Tecnico
RDNT;RadNet, Inc.;Sanidad;Especialidades medicas
FDP;Fresh Del Monte Produce, Inc.;NO APLICABLE;Agricultura/Semillas/Molineria
ALLO;Allogene Therapeutics, Inc.;Sanidad;Biotecnologia Productos biologicos (no sustancias de diagnostico)
